Month,Weight_loss,FORECAST,STD,L95,U95,RESIDUAL
01OCT19,,65.761030145,6.7019684577,52.625413342,78.896646947,
01NOV19,,63.156892018,6.9929838176,49.450895591,76.862888445,
01DEC19,,58.283328556,7.2723630368,44.029758921,72.53689819,
01JAN20,,84.845896767,7.9197687858,69.323435181,100.36835835,
01FEB20,,77.407877612,8.3845641119,60.974433927,93.841321298,
01MAR20,,77.636521475,8.8249132047,60.340009427,94.933033523,
01APR20,,77.466460277,9.244310185,59.347945252,95.584975301,
01MAY20,,76.594845064,9.6454885061,57.690034979,95.499655149,
01JUN20,,73.507441435,10.172037866,53.570613568,93.444269302,
01JUL20,,75.425285296,10.625143695,54.600386324,96.250184268,
01AUG20,,71.674509467,11.059701746,49.997892366,93.351126569,
01SEP20,,66.163019501,11.477818908,43.66690782,88.659131181,
01OCT20,,63.61316726,11.881231042,40.326382327,86.899952194,
01NOV20,,61.031699423,12.271388481,36.98021996,85.083178885,
01DEC20,,56.075043039,12.649517754,31.282443819,80.867642259,
