Month,Weightloss,FORECAST,STD,L,U,RESIDUAL
01JAN18,90,89.372687134,3.0419856496,83.410504819,95.334869448,0.6273128662
01FEB18,80,83.420542837,3.6588976238,76.249235272,90.591850403,-3.420542837
01MAR18,81,83.128602332,4.1858555816,74.924476148,91.332728517,-2.128602332
01APR18,82,83.065259999,4.6535193218,73.944529727,92.185990271,-1.065259999
01MAY18,80,81.319891171,5.0782966837,71.366612568,91.273169774,-1.319891171
01JUN18,77,78.557906823,5.4701875961,67.836536146,89.2792775,-1.557906823
01JUL18,80,80.223581053,5.8358210618,68.785581952,91.661580154,-0.223581053
01AUG18,76,76.419844596,6.1798594316,64.307542681,88.532146511,-0.419844596
01SEP18,70,71.150057444,6.5057296072,58.399061721,83.901053167,-1.150057444
01OCT18,67,68.902734377,6.8160379145,55.543545547,82.261923207,-1.902734377
01NOV18,63,67.209298059,7.1128213797,53.268424327,81.150171792,-4.209298059
01DEC18,62,59.758412249,7.3977079632,45.259171073,74.257653425,2.2415877512
